subscription_id,month,Cost
tt32a5e0-9363-432t-b103-23f31605c349,2022-12-01,146.929
tt32a5e0-9363-432t-b103-23f31605c349,2022-12-01,45.021
32t96c66-b6b0-4111-b3a2-0b37ct09463f,2022-12-01,47.904
e332ea53-2e66-4297-b753-32f6b34b5a06,2022-12-01,79.921
e332ea53-2e66-4297-b753-32f6b34b5a06,2022-12-01,49.209
t9tbba2c-4ca5-4c33-3317-0t55f3ccb692,2022-12-01,81.59648
3bbt2547-5b61-43b9-3317-0543c5226ct2,2022-12-01,127.385
b24f14e3-ce6a-4352-35ab-bft13ea4644f,2022-12-01,14.973
b24f14e3-ce6a-4352-35ab-bft13ea4644f,2022-12-01,17.871
3bbt2547-5b61-43b9-3317-0543c5226ct2,2022-12-01,144.486
e2700a53-7550-4c67-30ff-ec3936770b4c,2022-12-01,80.31904
33b3e01f-tbf3-4fa3-9ffe-tef3a9e9f43b,2022-12-01,39.60064
1793706b-30ab-4021-aat9-510t39465ab2,2022-12-01,45.66848
t712e337-7a7f-46b2-3e5t-2704bf650a5a,2022-12-01,76.48672
9ab7b3t3-c9c7-4e3c-3c7f-5bf95659t4b2,2022-12-01,90.042
9ab7b3t3-c9c7-4e3c-3c7f-5bf95659t4b2,2022-12-01,127.036
61f60c56-10f1-440a-b142-936t0454t331,2022-12-01,91.97568
c9f52b5f-0c7f-4743-9fa3-f049c0e36327,2022-12-01,58.12352
3btf0619-ff03-4c7c-3c9b-e0c90326c7f2,2022-12-01,68.98176
4t03507a-6631-4576-9e6f-4267ta133979,2022-12-01,45.02976
32b0t5c1-e0c0-4c66-92f6-6b6a46473ef3,2022-12-01,90.2192
c79t192e-3e23-4792-b736-9c950539fet5,2022-12-01,36.88608
5052c33a-e605-434t-3294-6aa4034bb690,2022-12-01,41.03776
09tefb30-7cca-403t-a4e9-ebbcea913b40,2022-12-01,140.996
09tefb30-7cca-403t-a4e9-ebbcea913b40,2022-12-01,64.565
a3bt61f2-7b30-430e-b6ft-034790t0ebaf,2022-12-01,88.6224
a3bt61f2-7b30-430e-b6ft-034790t0ebaf,2022-12-01,70.09952
a440e6t5-c9c7-463b-a0f5-102779c5a915,2022-12-01,35.928
e2t6e533-b71e-404a-3615-6c5ea43cbt41,2022-12-01,168.567
3c3te021-0143-4a39-ab33-177e9a066b45,2022-12-01,17.388
767c3e14-9139-4cae-94c5-ctt7e5t63402,2022-12-01,25.737
ebc9f9a0-ecta-4bta-3e0b-9c6t0eb6e755,2022-12-01,31.936
e2t6e533-b71e-404a-3615-6c5ea43cbt41,2022-12-01,155.654
3c3te021-0143-4a39-ab33-177e9a066b45,2022-12-01,23.391
767c3e14-9139-4cae-94c5-ctt7e5t63402,2022-12-01,13.8
ebc9f9a0-ecta-4bta-3e0b-9c6t0eb6e755,2022-12-01,84.47072
3a7732c2-20tf-4eft-93ct-2ef35f3ce7be,2022-12-01,74.2512
e2t6e533-b71e-404a-3615-6c5ea43cbt41,2022-12-01,91.438
39c3c3tc-32b2-4f34-9t45-0f44b5f25e95,2022-12-01,56.84608
04433e56-e223-41c5-965e-7515eate1ce7,2022-12-01,125.291
04433e56-e223-41c5-965e-7515eate1ce7,2022-12-01,161.238
fa9f0425-5e06-431t-315e-527t326370f2,2022-12-01,158.795
0t14b460-9c5t-434a-9649-5efcc363tefc,2022-12-01,138.902
0t14b460-9c5t-434a-9649-5efcc363tefc,2022-12-01,152.862
e20f1t13-9ftc-4157-9c34-ae4f0430f19c,2022-12-01,8.307
e20f1t13-9ftc-4157-9c34-ae4f0430f19c,2022-12-01,15.483
e20f1t13-9ftc-4157-9c34-ae4f0430f19c,2022-12-01,17.043
a3bae1f9-7379-434f-9643-000e4996c205,2022-09-01,37.343
c126fcfe-1213-40e3-936a-ftt34326tt25,2022-09-01,90.05952
t9042t33-456b-4e76-93fc-23732t31a304,2022-09-01,55.72832
26167t91-3att-4tc3-a367-f65cff319f31,2022-09-01,86.203
a101etc3-39bf-446b-3t6t-1b3bf51b2255,2022-09-01,153.909
3t36a7et-c65b-419b-ba15-6606c4237306,2022-09-01,140.996
713f4f1c-3303-479c-a3ac-3695b3t3015f,2022-09-01,64.51072
61273e51-9t63-4695-33t1-5036203et33c,2022-09-01,154.258
a351f2ae-3230-473c-a0b1-ea1533e93c06,2022-09-01,65.62848
65715ta0-9a3f-42e4-30e7-95a0712c706a,2022-09-01,13.338
fcf3222t-e654-493t-96ac-f5b2c30f7375,2022-09-01,46.62656
b5tf0b16-23f3-447b-a5a4-9696fcbec33e,2022-09-01,37.84416
151763ft-b2bf-4e64-3779-0333f173a062,2022-09-01,92.6144
a93fba17-ce12-45f6-b396-26ft7a96b997,2022-09-01,74.2512
60tf6b47-ffe3-4142-a749-39f55f95499c,2022-09-01,116.217
eb25fft3-7336-4t05-97t2-3a33b0t4cbe6,2022-09-01,49.02176
47t1951c-3e04-47e3-349a-959b0bb53a5b,2022-09-01,96.673
17a3314b-312c-446t-35f2-f3tcaet57034,2022-09-01,150.07
b793bc43-461a-4ttc-3929-e7c37afa7b52,2022-09-01,48.38304
7tatc6f3-e26t-4562-3ec7-6bc3170t1ce1,2022-09-01,91.816
eb1724f4-e64b-432c-bttf-t61ett3f92b5,2022-09-01,378.66
913e3052-e1cf-4b76-a6b2-e43t30t06454,2022-09-01,165.077
bfc452ec-1431-4fet-b45t-6teaaac3f024,2022-09-01,132.62
97c21ccc-5t2e-4356-9cec-c07702a39047,2022-09-01,53.133
41597cef-3103-4e4a-b76a-5c19ct454739,2022-09-01,82.07552
24704ac7-012f-445e-b14f-afte95cf6990,2022-09-01,3.9
4b22t951-ta7b-420t-9t46-e5062tcb3f64,2022-09-01,164.03
413ef69c-c441-42a1-944b-cbef61ae77cb,2022-09-01,79.20128
fe375256-f225-419a-be33-03c4742b0t3b,2022-09-01,55.888
fe4cc934-3t44-4314-aa1f-aae4et1ab413,2022-09-01,49.558
bf35a203-77cb-4aca-a1f4-0f060be79341,2022-09-01,93.89184
3399afa3-4cba-4213-ac13-abba7tb7e933,2022-09-01,160.191
0e3t0efb-6b00-46tf-3t33-3933c3e33333,2022-09-01,165.775
3f4at0fc-e91a-406f-bat5-b919abe43cat,2022-09-01,85.26912
7175722e-b513-4e33-b295-14a4e0f92349,2022-09-01,96.324
e5090c2e-134e-46bb-a20b-3524c35b323f,2022-09-01,169.963
ace333c1-4447-4924-a517-7e9b0t4eea24,2022-09-01,39.92
6t2e07f9-teb9-41ft-b03f-te1aatet7aa5,2022-09-01,65.30912
b663ae09-fb9c-4te6-3960-ab1a3262f500,2022-09-01,51.652
af64ea96-c557-4t69-9564-7beb374396c9,2022-09-01,86.2272
b779t2f1-ct04-4f3b-bt3f-a06fc635c23c,2022-09-01,90.69824
7t352052-3e5t-43t7-932b-9620034451t3,2022-09-01,116.915
30tb7aec-5ce9-4cbc-b0tc-0360ebc3f621,2022-09-01,78.525
e40f35b9-9694-4e03-3aeb-c7ce33tce3f0,2022-09-01,149.721
36affecc-b6b1-4103-9313-3ff91b05fa24,2022-09-01,154.258
59fct1ba-f3cb-4556-b3b5-79c6762ccec9,2022-09-01,26.979
c01a40aa-t0t7-4eb7-bc70-91073b1f176a,2022-09-01,157.05
c35a4653-992c-43t3-9a1b-219aca91e03f,2022-09-01,114.821
b3f57eff-f47t-4947-be69-306b30fb00ft,2022-09-01,16.302
