subscription_id,cancelled_at,Contract,created_at,Customer,first_activate_at,Msisdn Activate At,changed_at,msisdn_last_activated_at,pending_status,msisdn_last_paused_at,current_esim,pending_plan,plan_activate_at,plan_active,status,Subscriber,type
53a5f13b-35f6-49at-9922-tc06a4172033,,,2022-11-16,9e2ft199-tf5e-4c90-3f59-513tc4atc72f,2022-12-01,,2022-12-01,2022-12-01,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
324f6235-ef7f-4t94-3t33-7417t5tc660b,,,2022-11-16,c3a310t6-6a94-490c-951e-92ft66a565f5,2022-11-16,,2022-11-16,2022-11-16,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
32a49ab3-6120-46c7-b6f0-0fcbfef21333,,,2022-11-16,9e4443be-c49f-4c4e-9fe1-3etab09et0af,2022-11-16,,2022-11-16,2022-11-16,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
92c5230e-1a2c-4atc-bb2t-5eb2e213a9te,,,2022-11-15,2at31ff0-31b0-457b-btt7-9513f1441t22,2023-02-20,2023-02-20,,,activate,,,PBX,2023-02-20,PBX,SUBSCRIPTION_STATUS_PENDING,,SUBSCRIPTION_TYPE_PBX
3cbef2c1-1f4a-4bb4-b63e-bt75963bceca,,,2022-11-15,2at31ff0-31b0-457b-btt7-9513f1441t22,2023-02-20,2023-02-20,,,activate,,,CELL Flex,2023-02-20,,SUBSCRIPTION_STATUS_PENDING,c969030e-4277-451f-355a-cfaf5c6fc903,SUBSCRIPTION_TYPE_CELL
9191a6ac-276b-45c1-b72b-32c5220f5c7a,,,2022-11-15,2at31ff0-31b0-457b-btt7-9513f1441t22,2023-02-20,2023-02-20,,,activate,,,CELL 5GB,2023-02-20,,SUBSCRIPTION_STATUS_PENDING,a7391ta7-4256-4a17-3332-4f64f63b7426,SUBSCRIPTION_TYPE_CELL
e991cc6e-443c-4b3b-3931-506243f4f3be,,,2022-11-15,2at31ff0-31b0-457b-btt7-9513f1441t22,2023-02-20,2023-02-20,,,activate,,,CELL 5GB,2023-02-20,,SUBSCRIPTION_STATUS_PENDING,btbe7c99-e1c7-473e-9f6a-2247cb7eab52,SUBSCRIPTION_TYPE_CELL
a39be154-244a-4b13-3343-7t66a6ct4456,2022-11-25,,2022-11-15,e3f49403-c4ef-4b94-a019-75a6ec7ata50,2022-11-15,,2022-11-25,2022-11-15,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_CANCELLED,,SUBSCRIPTION_TYPE_PBX
b273e3at-e0a6-4753-97tb-ffca1003cff4,2022-11-25,,2022-11-15,e3f49403-c4ef-4b94-a019-75a6ec7ata50,2022-11-18,,2022-11-25,2022-11-18,,,False,,,CELL Flex,SUBSCRIPTION_STATUS_CANCELLED,a7a7t3be-3921-4a40-9b3a-1t50c3af36ea,SUBSCRIPTION_TYPE_CELL
913e3052-e1cf-4b76-a6b2-e43t30t06454,,,2022-11-15,10c0t04c-e022-461t-9009-6791bf913b15,2022-11-16,,2022-11-16,2022-11-16,,,True,,,CELL 5GB,SUBSCRIPTION_STATUS_ACTIVATED,32593t2f-4e32-4ft0-9taa-53259e2cee05,SUBSCRIPTION_TYPE_CELL
f316bbe5-3434-4c70-b733-761a5963bca1,,,2022-11-15,16956b9e-f55t-4ecb-9694-2b330a114665,2022-11-21,,2022-11-21,2022-11-21,,,True,,,CELL 1GB,SUBSCRIPTION_STATUS_ACTIVATED,fca646e2-0ttt-4333-b2e9-202f0f24f37e,SUBSCRIPTION_TYPE_CELL
e0a43e3a-1243-4ea3-bc53-c79tta34c320,,,2022-11-15,bfe43e5f-btec-4b27-9663-aa3bf335e275,2022-11-29,,2022-11-29,2022-11-29,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
3c76e55e-55e9-4f95-9fe2-32ff334bt3f5,,,2022-11-15,t74ab4f5-5c65-4e9t-931b-6f35694ca3ab,2022-11-15,,2022-11-15,2022-11-15,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
tt32a5e0-9363-432t-b103-23f31605c349,,,2022-11-15,5tb94054-ee9a-43f4-9e3f-f33ec2e16359,2022-12-02,,2022-12-02,2022-12-02,,,False,,,CELL 5GB,SUBSCRIPTION_STATUS_ACTIVATED,5ta6c619-0373-4675-96b9-cb005372e66t,SUBSCRIPTION_TYPE_CELL
0b233f41-6t2c-4a09-a543-afa630536f0e,,,2022-11-14,3f0a5b2f-9e20-49a2-bee7-b93021fce7f7,2022-11-14,,2022-11-14,2022-11-14,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
76f2363t-e2bt-4a2a-9b16-99a37f14f329,2022-11-18,,2022-11-14,0a3247fa-t569-4f3f-939e-30t9bbtceb3t,2022-11-14,,2022-11-18,2022-11-14,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_CANCELLED,,SUBSCRIPTION_TYPE_PBX
7af92c34-6a7b-4532-a23e-939b91944e6e,2022-11-18,,2022-11-14,0a3247fa-t569-4f3f-939e-30t9bbtceb3t,2022-11-14,,2022-11-18,2022-11-14,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_CANCELLED,,SUBSCRIPTION_TYPE_PBX
9f72e03b-9329-4675-b5t9-17e6e3faffee,2022-11-14,,2022-11-14,2ef3b7f0-03ct-41f4-96c9-3at3e24310f0,2022-11-14,,2022-11-14,,,,False,,,CELL 1GB,SUBSCRIPTION_STATUS_CANCELLED,0a672f36-t931-4e6e-b133-350t67ab9065,SUBSCRIPTION_TYPE_CELL
b321a3c3-3b24-44c3-bf37-a723b95ta753,,,2022-11-14,c0c6f43f-2324-4353-bff2-7096cf37t2tf,2022-12-01,,2022-12-01,2022-12-01,,,True,,,CELL Unlimited,SUBSCRIPTION_STATUS_ACTIVATED,401b3ta4-4cat-4eca-ae91-6bc24t9477c2,SUBSCRIPTION_TYPE_CELL
c2605c13-4979-451a-36a1-4a3c91fe6366,,,2022-11-14,2f23bat1-6ff6-4996-a445-03f005674ae9,2022-11-14,,2022-11-14,2022-11-14,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
02323929-4c3a-4b42-9et0-333fbaeec26e,,,2022-11-14,2f23bat1-6ff6-4996-a445-03f005674ae9,2022-11-14,,2022-11-14,2022-11-14,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
14b0a194-f0f5-44fe-bfet-1723t49c6276,,,2022-11-14,2f23bat1-6ff6-4996-a445-03f005674ae9,2022-11-14,,2022-11-14,2022-11-14,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
9ab7b3t3-c9c7-4e3c-3c7f-5bf95659t4b2,,,2022-11-14,e1efbaet-95c4-4a9t-97ec-106030f7ba2e,2022-11-22,,2022-11-22,2022-11-22,,,False,,,CELL 5GB,SUBSCRIPTION_STATUS_ACTIVATED,a1360559-03a3-4236-936b-3cfc2cf7c50b,SUBSCRIPTION_TYPE_CELL
4t03507a-6631-4576-9e6f-4267ta133979,,,2022-11-14,et3e93a7-37c0-445e-3f66-fft7bc4fcbtb,2022-11-14,,2022-11-15,2022-11-15,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
30702b50-7e0e-442a-ba11-2c364e509c55,,,2022-11-14,90c6fb15-tf77-4333-36bc-7b6t1206t2t9,2022-11-14,,2022-11-14,2022-11-14,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
65715ta0-9a3f-42e4-30e7-95a0712c706a,,,2022-11-13,0974e379-ee52-404f-9534-b011t6cc35c6,2022-11-17,,2022-11-17,2022-11-17,,,False,,,M2M 100MB,SUBSCRIPTION_STATUS_ACTIVATED,c52fb6tt-137b-4be7-3391-4bf3700e3c2t,SUBSCRIPTION_TYPE_M2M
a93fba17-ce12-45f6-b396-26ft7a96b997,,,2022-11-11,0ba7t9c9-bee1-47a3-3ta2-4a1670c0021t,2022-11-11,,2022-11-11,2022-11-11,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
79feeb36-97tc-4950-3257-fc223ae3bt7a,,,2022-11-11,622ttf91-5f93-45b6-a39e-ca5363e3t961,2022-11-16,,2022-11-16,2022-11-16,,,False,,,CELL 10GB,SUBSCRIPTION_STATUS_ACTIVATED,32319c33-0563-41f6-9a9e-fac933ec7f13,SUBSCRIPTION_TYPE_CELL
301330bf-93c7-4afa-9e3b-f313004f3a19,,,2022-11-11,4023b334-3t15-475f-a03b-66f52e376a34,2022-11-11,,2022-11-11,2022-11-11,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
e2c329b0-119a-4b52-ae7e-fb470tf5302f,2022-11-12,,2022-11-11,bb593043-9b31-4103-365t-9e123ea15305,2022-11-11,,2022-11-12,2022-11-11,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_CANCELLED,,SUBSCRIPTION_TYPE_PBX
a1t59723-9cc9-4aa7-bbb2-550a33ebaaf4,,,2022-11-10,ac6f7420-1523-49ta-b263-535e6ce75ct2,2022-11-25,,2022-11-25,2022-11-25,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
t001725t-ae22-415t-35f6-atb7614btea9,,,2022-11-10,63fb0cf1-c9e1-46e0-afe3-eet02b6e737a,2022-11-15,,2022-11-15,2022-11-15,,,True,,,CELL 1GB,SUBSCRIPTION_STATUS_ACTIVATED,b71ft739-14tb-4472-b235-35249013792c,SUBSCRIPTION_TYPE_CELL
b37cfe9t-1637-4b7t-3b2b-cae2bf96e096,,,2022-11-10,25326e5b-b5t0-4bb6-3t7t-e5e2ffaebc4b,2022-11-10,,2022-11-10,2022-11-10,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
4363cfae-5111-4329-ae2c-1a9et2a24f3e,,,2022-11-10,25326e5b-b5t0-4bb6-3t7t-e5e2ffaebc4b,2023-02-13,2023-02-13,,,activate,,,CELL 5GB,2023-02-13,,SUBSCRIPTION_STATUS_PENDING,b9t937c2-e615-4tf5-3fca-211205a50232,SUBSCRIPTION_TYPE_CELL
7eb1t22c-c099-4e9f-322f-e731tc3a7cc2,,,2022-11-10,11cf4465-7tt5-4c70-3ab3-e0t67e36ae66,2023-02-15,2023-02-15,,,activate,,,PBX,2023-02-15,PBX,SUBSCRIPTION_STATUS_PENDING,,SUBSCRIPTION_TYPE_PBX
t77156a5-3133-4174-a963-e23cf6a979b7,,,2022-11-10,11cf4465-7tt5-4c70-3ab3-e0t67e36ae66,2023-02-15,2023-02-15,,,activate,,,CELL 5GB,2023-02-15,,SUBSCRIPTION_STATUS_PENDING,174b1f47-7423-4b0a-a15b-4act3e342b60,SUBSCRIPTION_TYPE_CELL
3961b311-3492-4b22-a9tt-ca032027ec92,,,2022-11-10,11cf4465-7tt5-4c70-3ab3-e0t67e36ae66,2023-02-15,2023-02-15,,,activate,,,CELL 1GB,2023-02-15,,SUBSCRIPTION_STATUS_PENDING,abt3e1tf-3b63-4c92-333e-a254ac711t5f,SUBSCRIPTION_TYPE_CELL
9e7ac4t3-0ba4-42a4-39b3-025tb512t7tc,,,2022-11-10,11cf4465-7tt5-4c70-3ab3-e0t67e36ae66,2023-02-15,2023-02-15,,,activate,,,CELL 1GB,2023-02-15,,SUBSCRIPTION_STATUS_PENDING,5e064e5a-0cf0-46f4-9e06-500teb4c00te,SUBSCRIPTION_TYPE_CELL
60tf6b47-ffe3-4142-a749-39f55f95499c,,,2022-11-10,0c29133c-ee3f-473b-a395-c3a0e6c50354,2022-11-28,,2022-11-28,2022-11-28,,,True,,,CELL 5GB,SUBSCRIPTION_STATUS_ACTIVATED,ff6t197e-16ca-4fbb-a913-fac33ab3ba79,SUBSCRIPTION_TYPE_CELL
26167t91-3att-4tc3-a367-f65cff319f31,,,2022-11-10,04ba1360-34b7-4f63-311b-3eb1ba0t52e3,2022-11-15,,2022-11-15,2022-11-15,,,False,,,CELL 5GB,SUBSCRIPTION_STATUS_ACTIVATED,4b72e79e-f997-4fe0-bebf-345eb7443ff9,SUBSCRIPTION_TYPE_CELL
750431f9-c24c-41t1-9b31-0a594c9052et,,,2022-11-08,aab3c21b-164f-4ca5-3592-tf4bc3f09tcc,2022-11-30,,2022-11-30,2022-11-30,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
bf35a203-77cb-4aca-a1f4-0f060be79341,,,2022-11-08,132e09tb-4b1b-4ebc-3050-5tf26739f676,2022-11-14,,2022-11-14,2022-11-14,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
1635929t-fab3-4ec0-33b7-74et3ef5e573,,,2022-11-07,3757ea75-300e-4a99-913e-617f7f54t3b5,2022-11-07,,2022-11-07,2022-11-07,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
190f35a3-7141-4336-3e46-1t9a1036716e,,,2022-11-07,3757ea75-300e-4a99-913e-617f7f54t3b5,2022-11-07,,2022-11-07,2022-11-07,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
c33tab17-t497-4547-3371-69cf1e11074f,,,2022-11-07,614t1b74-5576-433c-a009-31e739a35f0b,2022-11-22,,2022-11-22,2022-11-22,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
e7ff5414-5ba3-4af5-b6f1-b1bcta60e10a,,,2022-11-07,ba967cf3-6762-4t77-aebb-7907a604ac26,2022-11-07,,2022-11-07,2022-11-07,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
eaa551ff-3241-4707-acat-1bb63e73b37a,2022-11-07,,2022-11-07,ba967cf3-6762-4t77-aebb-7907a604ac26,2022-11-07,,2022-11-07,2022-11-07,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_CANCELLED,,SUBSCRIPTION_TYPE_PBX
51c7202a-bf3t-45ec-3331-033456477b6c,,,2022-11-04,c4bact44-f6ab-4761-3f39-0t75a4e7176c,2022-11-04,,2022-11-04,2022-11-04,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
af64ea96-c557-4t69-9564-7beb374396c9,,,2022-11-04,15f1034f-7e39-4eet-b04b-0abceec4eb4t,2022-11-10,,2022-11-10,2022-11-10,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
0e373143-5ttb-431b-ac5t-1c60t2b9c395,,,2022-11-04,2ef3b7f0-03ct-41f4-96c9-3at3e24310f0,2022-11-04,,2022-11-04,2022-11-04,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
t20f924e-0250-40e3-b1ft-1140a0ba2b1e,,,2022-11-04,2ef3b7f0-03ct-41f4-96c9-3at3e24310f0,2022-11-04,,2022-11-14,2022-11-14,,,False,,,CELL 5GB,SUBSCRIPTION_STATUS_ACTIVATED,07btt342-52f0-4be5-aaa2-7f32099313t5,SUBSCRIPTION_TYPE_CELL
651eae7b-7a1c-4636-31aa-ct1c3c3691a3,,,2022-11-04,2ef3b7f0-03ct-41f4-96c9-3at3e24310f0,2022-11-04,,2022-11-04,2022-11-04,,,True,,,CELL 1GB,SUBSCRIPTION_STATUS_ACTIVATED,0fa635a7-1e43-45a0-at75-345370ceta13,SUBSCRIPTION_TYPE_CELL
c903ca6c-1025-4fa9-aa16-6a2232759ec0,,,2022-11-04,2ef3b7f0-03ct-41f4-96c9-3at3e24310f0,2022-11-04,,2022-11-04,2022-11-04,,,True,,,CELL 1GB,SUBSCRIPTION_STATUS_ACTIVATED,4b36tc10-b9f3-4b4t-9ee3-7445403435ac,SUBSCRIPTION_TYPE_CELL
32b0t5c1-e0c0-4c66-92f6-6b6a46473ef3,,,2022-11-04,e7f0t575-a53f-43t2-9019-79cbfc59ttf3,2022-11-04,,2022-11-09,2022-11-09,,2022-11-04,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
41597cef-3103-4e4a-b76a-5c19ct454739,,,2022-11-03,121b4a5f-fe49-413f-33f4-14a3cc3f6333,2022-11-14,,2022-11-14,2022-11-14,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
bfc452ec-1431-4fet-b45t-6teaaac3f024,,,2022-11-03,121b4a5f-fe49-413f-33f4-14a3cc3f6333,2022-11-21,,2022-11-21,2022-11-21,,,False,,,CELL 1GB,SUBSCRIPTION_STATUS_ACTIVATED,fecta3ae-3b76-4626-bft9-9b47233a059t,SUBSCRIPTION_TYPE_CELL
0t33a602-395e-4535-b13t-23726171b45c,,,2022-11-03,6f1eeaab-tae9-4061-b790-6c50b0733c96,2022-11-18,,2022-11-18,2022-11-18,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
20607925-fb43-432b-3665-97ttb954a63f,,,2022-11-03,3e6f6eab-6e1a-41cb-94a6-60961356fea1,2022-11-03,,2022-11-03,2022-11-03,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
3btf0619-ff03-4c7c-3c9b-e0c90326c7f2,,,2022-11-03,et7a5163-7fa9-45ec-32t0-2fb39bc39395,2022-11-03,,2022-11-03,2022-11-03,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
f6tta709-16f0-4373-b346-3071f713e337,,,2022-11-02,33a774e7-a327-44bb-9730-7acf93762f5e,2022-11-02,,2022-11-02,2022-11-02,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
ef2tc230-3ac6-41t2-aa15-2b375527tc2f,,,2022-11-02,b469bt62-045c-4c63-3431-13996tcb966e,2022-11-18,,2022-11-18,2022-11-18,,,False,,,CELL 1GB,SUBSCRIPTION_STATUS_ACTIVATED,73bt9bf9-3273-42ca-a1ea-5333e7ab5t77,SUBSCRIPTION_TYPE_CELL
1793706b-30ab-4021-aat9-510t39465ab2,,,2022-11-02,5f4fe5c3-3t35-4b1e-b2cb-c361aa93c43b,2022-11-02,,2022-11-02,2022-11-02,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
90f0fa33-9efa-4be5-922e-56t3ct6ffe0t,,,2022-11-02,tc9t2370-635t-4ba9-a169-a3ef5737f93f,2022-11-17,,2022-11-17,2022-11-17,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
45eb7tba-f20c-43aa-bf39-c6fbce722ba7,,,2022-11-02,ca392310-03ta-4bet-3t43-99t3eat1e3cc,2022-11-15,,2022-11-15,2022-11-15,,,True,,,CELL 5GB,SUBSCRIPTION_STATUS_ACTIVATED,2ebcc1c7-btcf-46be-9f03-9b0t2ca50314,SUBSCRIPTION_TYPE_CELL
b24f14e3-ce6a-4352-35ab-bft13ea4644f,,,2022-11-01,59b6c70a-964t-4473-3947-b3523b50f350,2022-11-14,,2022-11-14,2022-11-14,,,False,,,DataSIM,SUBSCRIPTION_STATUS_ACTIVATED,3c3337e4-7tt3-44t9-ab6b-b1265f9t70cc,SUBSCRIPTION_TYPE_DATA
3bbt2547-5b61-43b9-3317-0543c5226ct2,,,2022-11-01,59b6c70a-964t-4473-3947-b3523b50f350,2022-11-14,,2022-11-14,2022-11-14,,,False,,,CELL 10GB,SUBSCRIPTION_STATUS_ACTIVATED,3c3337e4-7tt3-44t9-ab6b-b1265f9t70cc,SUBSCRIPTION_TYPE_CELL
9fc1fe1t-55c3-4436-9t02-175fc2cf3cb3,,,2022-11-01,30c42030-cf9f-4766-3257-3t4033332teb,2022-11-04,,2022-11-04,2022-11-04,,,False,,,CELL 5GB,SUBSCRIPTION_STATUS_ACTIVATED,cceeb5e5-67c0-4639-392e-tb4710a1t543,SUBSCRIPTION_TYPE_CELL
b7b1014e-659t-43tt-3039-t46f34a3e6be,,,2022-11-01,327e46ct-36ab-4612-a04f-ba322c2ae253,2022-11-01,,2022-11-01,2022-11-01,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
3at99aft-96t1-4bt7-3545-2cecea956tf4,,,2022-11-01,327e46ct-36ab-4612-a04f-ba322c2ae253,2022-11-01,,2022-11-01,2022-11-01,,,True,,,CELL Flex,SUBSCRIPTION_STATUS_ACTIVATED,cbeb3a41-709f-4ae5-913f-593a09e2b93f,SUBSCRIPTION_TYPE_CELL
fb2eta15-b7ef-4cet-3473-fca3f3tbetca,,,2022-11-01,327e46ct-36ab-4612-a04f-ba322c2ae253,2022-11-01,,2022-11-01,2022-11-01,,,True,,,CELL Flex,SUBSCRIPTION_STATUS_ACTIVATED,96ca7a25-7t24-403t-a5c9-71t44b9a61ta,SUBSCRIPTION_TYPE_CELL
c3e3aee2-19b6-4ee6-962f-c67512efa3ff,,,2022-11-01,327e46ct-36ab-4612-a04f-ba322c2ae253,2022-11-01,,2022-11-01,2022-11-01,,,True,,,CELL Flex,SUBSCRIPTION_STATUS_ACTIVATED,9ee6b775-0c40-4bt3-bb11-a9b5f0t1atc7,SUBSCRIPTION_TYPE_CELL
30tetfc1-6435-4061-b455-92ta21240601,,,2022-11-01,6096a337-2e65-4fae-9bb6-6502794c0t3c,2022-11-01,,2022-11-01,2022-11-01,,,False,,,CELL 5GB,SUBSCRIPTION_STATUS_ACTIVATED,taa2f252-3a04-4abb-b3tb-1af101t91ct3,SUBSCRIPTION_TYPE_CELL
etc3942b-5056-4ea7-b7a7-7bt26ec916c6,,,2022-11-01,6096a337-2e65-4fae-9bb6-6502794c0t3c,2022-11-09,,2022-11-09,2022-11-09,,,False,,,CELL 5GB,SUBSCRIPTION_STATUS_ACTIVATED,3330t95b-2736-4e14-a729-02223f55b16c,SUBSCRIPTION_TYPE_CELL
btfe4et4-93c5-4f45-a92f-1t04et7327ft,,,2022-11-01,24766311-53a3-4a69-a490-et0b33364tbb,2022-11-01,,2022-11-25,2022-11-25,,2022-11-24,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
0e1aa36e-73t2-4773-9090-046ta157a001,2022-12-02,,2022-11-01,3cct3119-6336-4eaa-3e3e-9353665aaa94,2022-11-03,,2022-12-02,2022-11-03,,,False,,,DataSIM,SUBSCRIPTION_STATUS_CANCELLED,44ac4e0c-f7c3-443b-a70b-ab2cf773b101,SUBSCRIPTION_TYPE_DATA
fe375256-f225-419a-be33-03c4742b0t3b,,,2022-11-01,1331e337-9c37-4ee5-352f-c1e954bb27b3,2022-11-01,,2022-11-01,2022-11-01,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
6c33314c-5c2f-4e33-9bbb-970411707293,,,2022-10-31,3e6f6eab-6e1a-41cb-94a6-60961356fea1,2022-10-31,,2022-10-31,2022-10-31,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
2375675c-a523-4abc-97c3-a6e63159a390,,,2022-10-31,3e6f6eab-6e1a-41cb-94a6-60961356fea1,2022-10-31,,2022-10-31,2022-10-31,,,True,,,CELL 1GB,SUBSCRIPTION_STATUS_ACTIVATED,9ec3093t-e4a0-493c-9atb-c340f39b74a3,SUBSCRIPTION_TYPE_CELL
323t46f3-ta3f-4a3t-a5ta-37f3f4bfa6c3,,,2022-10-31,3e6f6eab-6e1a-41cb-94a6-60961356fea1,2022-10-31,,2022-10-31,2022-10-31,,,True,,,CELL 1GB,SUBSCRIPTION_STATUS_ACTIVATED,bc69f9af-ca90-4433-afba-67a3933c0ct4,SUBSCRIPTION_TYPE_CELL
619t1233-1c30-4339-9cee-57b16ebb0fb0,,,2022-10-31,3e6f6eab-6e1a-41cb-94a6-60961356fea1,2022-10-31,,2022-10-31,2022-10-31,,,True,,,CELL 1GB,SUBSCRIPTION_STATUS_ACTIVATED,f93c7130-ct1a-4fe9-a32f-f14ecb9546a6,SUBSCRIPTION_TYPE_CELL
b793bc43-461a-4ttc-3929-e7c37afa7b52,,,2022-10-31,1032t405-7taa-4ff5-a4ea-3433ct36cf9c,2022-10-31,,2022-10-31,2022-10-31,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
f5731e0e-3a59-49e7-91ef-3321t61145t3,,,2022-10-30,34ef11e4-b39b-4531-a11f-1ef731t5b0b3,2022-10-30,,2022-10-30,,,2022-10-30,False,PBX,,PBX,SUBSCRIPTION_STATUS_PAUSED,,SUBSCRIPTION_TYPE_PBX
tff3b47b-ft69-45et-a63b-f9c29fte7f3b,,,2022-10-30,34ef11e4-b39b-4531-a11f-1ef731t5b0b3,2022-11-15,,2022-11-15,2022-11-15,,,False,PBX,,PBX,SUBSCRIPTION_STATUS_ACTIVATED,,SUBSCRIPTION_TYPE_PBX
330a3ft3-374f-4cf4-39f5-e1044c177619,,,2022-10-30,34ef11e4-b39b-4531-a11f-1ef731t5b0b3,2022-11-15,,2022-11-15,2022-11-15,,,False,,,DataSIM,SUBSCRIPTION_STATUS_ACTIVATED,490c39ef-2bb0-4474-9b3t-c696130bb97b,SUBSCRIPTION_TYPE_DATA
45b593b2-5b52-4015-a31f-f736b93290at,,,2022-10-30,34ef11e4-b39b-4531-a11f-1ef731t5b0b3,2022-11-15,,2022-11-15,2022-11-15,,,True,,,CELL 5GB,SUBSCRIPTION_STATUS_ACTIVATED,490c39ef-2bb0-4474-9b3t-c696130bb97b,SUBSCRIPTION_TYPE_CELL
31ee55t5-41t7-42f3-b2ce-5711452e4694,,,2022-10-30,34ef11e4-b39b-4531-a11f-1ef731t5b0b3,2022-11-15,,2022-11-15,2022-11-15,,,True,,,CELL 5GB,SUBSCRIPTION_STATUS_ACTIVATED,t5afaf0f-6a52-4974-3b2f-cf95934b572t,SUBSCRIPTION_TYPE_CELL
ab1atc6c-0124-4b3t-af23-af6371etee45,,,2022-10-30,34ef11e4-b39b-4531-a11f-1ef731t5b0b3,2022-11-15,,2022-11-15,2022-11-15,,,False,,,CELL Flex,SUBSCRIPTION_STATUS_ACTIVATED,0c265t63-ecc9-44fe-b3af-40e7ef9e05bc,SUBSCRIPTION_TYPE_CELL
04433e56-e223-41c5-965e-7515eate1ce7,,,2022-10-30,fac32313-tbe5-4bf6-a503-2t93e63ab406,2022-12-01,,2022-12-01,2022-12-01,,,False,,,CELL Flex,SUBSCRIPTION_STATUS_ACTIVATED,76t2tbab-9e0b-46e3-bf36-3f20a3e46et3,SUBSCRIPTION_TYPE_CELL
